Ontology,Topics,Terms,Description,GOIDs
MF,Topic_10,"Receptor Activities in Growth Regulation, Apoptosis, and Neuroprotection","Key receptor activities involved in cellular growth regulation, apoptosis, and neuroprotection. Transforming growth factor beta (TGF-beta) receptors, including type I and II, mediate cellular responses by interacting with specific ligands. Interferon receptors, both type I and II, play roles in immune responses. Neurotrophin and nerve growth factor receptors are crucial for neuronal survival and development. TRAIL receptors induce apoptosis in transformed cells. Additionally, various endopeptidase inhibitors regulate protease activities involved in apoptosis, emphasizing their role in cell survival and function.",GO:0070123_GO:0043027_GO:0005025_GO:0005133_GO:0048019_GO:0048018_GO:0004905_GO:0005030_GO:0036463_GO:0045569_GO:0004867_GO:0005105_GO:0019828_GO:0019962_GO:0005123_GO:0043121_GO:0001648_GO:0010465_GO:0004866_GO:0005163
MF,Topic_11,Transmembrane Transport and Binding Activities of Lipoproteins and Small Molecules,"The receptor activities and transport mechanisms for various lipoproteins and small molecules. Key activities include binding and uptake of low-density lipoproteins (LDL), very-low-density lipoproteins (VLDL), and high-density lipoproteins (HDL), which play crucial roles in lipid metabolism and cardiovascular health. It also covers the transport of lactate, tetracycline, coenzyme A, acyl carnitine, and alcohol across membranes. Additionally, the binding of extracellular matrix components and spectrin is noted, emphasizing their roles in cellular function and structural integrity.",GO:0030169_GO:0005041_GO:0030228_GO:0030229_GO:0034189_GO:0008035_GO:0015129_GO:0005044_GO:0008493_GO:0070506_GO:0071813_GO:0030023_GO:0050750_GO:0015228_GO:0015227_GO:0015665_GO:0005237_GO:0030507_GO:0015226_GO:0008046
MF,Topic_12,Enzymatic Phosphorylation and Dephosphorylation of Inositol and Phosphatidylinositol Derivatives,"The enzymatic activities involved in the phosphorylation and dephosphorylation of inositol and phosphatidylinositol derivatives. It includes the catalysis of various reactions, such as the conversion of inositol hexakisphosphate to pentakisphosphate and the phosphorylation of phosphatidylinositol derivatives. These activities are crucial for regulating cellular signaling pathways and maintaining inositol phosphate levels. The diverse range of kinases and phosphatases described highlights their roles in cellular metabolism and signal transduction.",GO:0000829_GO:0004445_GO:0000827_GO:0000828_GO:0004439_GO:0016316_GO:0052629_GO:0106017_GO:0034597_GO:0052848_GO:0016308_GO:0052828_GO:0008486_GO:0043812_GO:0052840_GO:0052842_GO:0004430_GO:0016303_GO:0051800_GO:0052810_GO:0052841_GO:0106018_GO:0106019
MF,Topic_13,Enzymatic Reactions in Phosphate Transfer and Metabolism,"The enzymatic activities involved in phosphate transfer and metabolic conversions. It covers a range of reactions including acireductone synthase activity, which catalyzes the formation of key intermediates, and various phosphatase activities that remove phosphate groups from inositol and phosphatidylinositol derivatives. Additionally, it highlights the roles of enzymes like glyceraldehyde-3-phosphate dehydrogenase and transaldolase in carbohydrate metabolism. These enzymatic processes are crucial for maintaining cellular phosphate balance and supporting metabolic pathways.",GO:0043874_GO:0004801_GO:0015526_GO:0043715_GO:0052745_GO:0052866_GO:0008929_GO:0042131_GO:0010309_GO:0017061_GO:0043891_GO:0004365_GO:0047444_GO:0043716_GO:0004347_GO:0033883_GO:0042132_GO:0043878_GO:0097023
MF,Topic_14,Binding and Catalytic Activities of DNA and RNA Modifying Enzymes,"Diverse binding and catalytic activities of enzymes involved in DNA and RNA modifications. It includes telomerase activity, which extends telomeres by adding deoxynucleotides, and various DNA-binding activities, such as telomeric D-loop, G-quadruplex, and flap-structured DNA. Key reactions are highlighted, such as DNA topoisomerase's role in altering DNA topology and RNA polymerase activities in transcription. Additionally, the roles of RNA-dependent and RNA-directed polymerases in synthesizing nucleic acids are detailed, emphasizing their significance in genetic regulation and maintenance.",GO:0061821_GO:0051880_GO:0070337_GO:0000404_GO:0070336_GO:0003720_GO:0061849_GO:0000403_GO:0071532_GO:0003964_GO:0062037_GO:0000405_GO:0003968_GO:0001069_GO:0001054_GO:0001067_GO:0048256_GO:0048257_GO:0003899_GO:0003918_GO:0035925
MF,Topic_15,Enzyme Activities in Metabolism: Aldehyde and Oxidoreductase Functions,"Diverse enzymatic activities crucial for metabolic processes. Key enzymes include saccharopine dehydrogenase, which catalyzes the formation of L-glutamate from saccharopine, and alcohol dehydrogenase, which oxidizes alcohols to aldehydes or ketones using NAD+ and zinc. Other activities include the conversion of long-chain aldehydes to carboxylates and the reduction of prostaglandin E2. These enzymes play essential roles in amino acid metabolism, lipid metabolism, and the processing of various biochemical intermediates, impacting overall metabolic regulation.",GO:0047131_GO:0016603_GO:0004024_GO:0004816_GO:0004411_GO:0008957_GO:0106237_GO:0003923_GO:0008802_GO:0070061_GO:0004033_GO:0008445_GO:0106386_GO:0047847_GO:0001512_GO:0050061_GO:0016620_GO:0047865_GO:0016624_GO:0050221
MF,Topic_16,Redox Enzymes and Their Specific Activities in Metabolic Processes,"Various redox enzymes essential for cellular metabolism. Key activities include methionine (S)- and (R)-S-oxide reductase, which repair oxidized methionine residues, and ribonucleoside-diphosphate reductase, which converts ribonucleoside diphosphates to deoxyribonucleoside diphosphates. Other significant enzymes include thiosulfate-thiol sulfurtransferase and malic enzyme, which are involved in sulfur and carbon metabolism, respectively. These enzymes play crucial roles in maintaining redox balance, repairing oxidative damage, and regulating metabolic pathways.",GO:0008113_GO:0070191_GO:0033743_GO:0004748_GO:0004842_GO:0033744_GO:0033745_GO:0033754_GO:0050337_GO:0003863_GO:0004470_GO:0045174_GO:0008384_GO:0036456_GO:0051920_GO:0070224_GO:0005523_GO:0061731_GO:0016175_GO:0000210_GO:0004489_GO:0016174_GO:0042880_GO:0047800_GO:0070675
MF,Topic_17,Diverse Mechanisms of Active Transport and Their Roles in Cellular Transport,"Active transport systems facilitate the movement of various substances across cellular membranes against their concentration gradients. Secondary active transporters utilize chemiosmotic energy to transfer molecules such as sulfate, pyruvate, and citrate, through symport or antiport mechanisms. Primary active transporters, like ATPase-coupled transporters, use direct energy sources such as ATP hydrolysis. These transporters are crucial for processes including nutrient uptake, ion balance, and waste removal, maintaining cellular homeostasis and function across diverse conditions.",GO:0008271_GO:0015453_GO:0005477_GO:0005315_GO:0042626_GO:0015399_GO:0015291_GO:0005371_GO:0071913_GO:0015328_GO:0005294_GO:0022804_GO:0008513_GO:0015322_GO:0015333_GO:0005427_GO:0015297_GO:0015361_GO:0022810_GO:0005356
MF,Topic_18,Diverse Oxidoreductase Activities in Redox Reactions and Electron Transfer,"Oxidoreductases facilitate crucial redox reactions, employing various donors such as nitrogenous compounds, CH-CH groups, and heme groups. These enzymes drive electron transfer by either incorporating oxygen into substrates or reducing it, using paired or single donors. They participate in diverse processes, including those involving reduced pteridine, ascorbate, and iron-sulfur proteins. By catalyzing reactions like the reduction of quinones and aldehydes, oxidoreductases play a pivotal role in cellular respiration and metabolism, maintaining redox balance and energy production through electron transport chains.",GO:0016661_GO:0016627_GO:0016645_GO:0016663_GO:0016675_GO:0016705_GO:0016725_GO:0016614_GO:0016635_GO:0016638_GO:0016714_GO:0016715_GO:0016713_GO:0016634_GO:0016642_GO:0016701_GO:0016623_GO:0016641_GO:0016716_GO:0009055
MF,Topic_19,"Enzyme Activities Involving Redox Reactions, Transport, and Catalysis","A range of enzyme activities vital for metabolic processes. It includes D-lactate dehydrogenase, which catalyzes the conversion of lactate to pyruvate, and linoleoyl-CoA desaturase, which introduces double bonds into fatty acids. Pyruvate dehydrogenase facilitates pyruvate's conversion to acetyl-CoA, crucial for energy production. Other notable activities include sucrose and pyruvate transport across membranes, epoxide hydrolase for epoxide transformation, and 4-alpha-hydroxytetrahydrobiopterin dehydratase for pterin metabolism. These enzymes are integral to biochemical pathways, enabling energy production, nutrient transport, and redox balance.",GO:0004458_GO:0016213_GO:0008124_GO:0004738_GO:0004739_GO:0008453_GO:0015068_GO:0008442_GO:0047777_GO:0050146_GO:0018478_GO:0047305_GO:0061599_GO:0106274_GO:0004741_GO:0003729_GO:0016992_GO:0008515_GO:0050833_GO:0004157_GO:0004301_GO:0008720_GO:0008948_GO:0052857
MF,Topic_20,"Enzyme Functions in Fatty Acid Metabolism: Dehydrogenation, Hydration, and Transport","Enzymes crucial for fatty acid metabolism. Medium-chain-acyl-CoA dehydrogenase and very-long-chain-acyl-CoA dehydrogenase are involved in the oxidation of medium- and very-long-chain fatty acids. Long-chain-enoyl-CoA hydratase and delta(3)-delta(2)-enoyl-CoA isomerase facilitate the hydration and isomerization of fatty acyl-CoA intermediates. Enzymes like fatty-acyl-CoA synthase and long-chain fatty-acid-CoA ligase catalyze the activation of fatty acids. Additionally, ABC-type fatty-acyl-CoA transporters aid in the cellular transport of fatty acids. These enzymes are essential for efficient fatty acid catabolism and energy production.",GO:0070991_GO:0016508_GO:0036042_GO:0017099_GO:0102756_GO:0015607_GO:0016509_GO:0052815_GO:0004315_GO:0004467_GO:0031957_GO:0031956_GO:0004466_GO:0004165_GO:0052817_GO:0102758_GO:0052814_GO:0018812_GO:0036041_GO:0004321_GO:0052816_GO:0080019
MF,Topic_21,Enzymatic Reactions in Glycoprotein and Glycolipid Synthesis: Transferases and Their Functions,"Various enzymatic activities involved in glycoprotein and glycolipid synthesis. Key enzymes include beta-galactosyl-N-acetylglucosaminyltransferase and alpha-2,3-sialyltransferase, which facilitate the addition of specific sugar residues to glycoproteins and glycolipids. These transferases catalyze the transfer of sugars such as N-acetylglucosamine, galactose, and sialic acid to acceptor molecules, contributing to the complex structures of glycosylated molecules. These reactions are vital for cellular recognition, signaling, and interaction.",GO:0008457_GO:0001888_GO:0008424_GO:0030144_GO:0004513_GO:0047223_GO:0047225_GO:0008454_GO:0047288_GO:0106326_GO:0015018_GO:0050510_GO:0047273_GO:0050508_GO:0003829_GO:0008109_GO:0008532_GO:0047915_GO:0003835_GO:0047276_GO:0047277
MF,Topic_22,Nucleotide and Nucleoside Transport and Binding Activities in Cellular Processes,"The binding and transport mechanisms of nucleotides and nucleosides across cellular membranes. Key activities include purine and pyrimidine ribonucleotide binding, nucleotide-sugar transmembrane transport, and purine nucleoside phosphorylase activity. These processes involve specific binding to ribonucleosides and deoxyribonucleosides, and the transport of nucleotide-sugars and nucleotides between cellular compartments. Understanding these mechanisms is crucial for elucidating cellular energy metabolism, signaling pathways, and nucleotide synthesis and degradation.",GO:0032555_GO:0032557_GO:0005338_GO:0032554_GO:0032549_GO:0005346_GO:0015165_GO:0036080_GO:0032556_GO:0017076_GO:0001882_GO:0032553_GO:0015216_GO:0032560_GO:0019103_GO:0001883_GO:0002060_GO:0000166_GO:0004731_GO:0015214_GO:0015218_GO:0032559_GO:0032561
MF,Topic_23,"Chemokine, Toll-like Receptor, and Enzyme Binding and Activity in Immune Responses","Various biological activities related to chemokines, Toll-like receptors, and enzymatic functions. Chemokines are crucial for directing immune cell migration, with distinct roles in inflammation and homeostasis. Toll-like receptors (TLRs) bind microbial components like lipopolysaccharides and collagen to trigger innate immune responses. Additionally, the topic includes activities of enzymes such as arsenate reductase, which reduces arsenate, and Rab geranylgeranyltransferase, which modifies proteins for membrane localization. Understanding these interactions is essential for insights into immune regulation and cellular responses.",GO:0008009_GO:0004950_GO:0019956_GO:0097655_GO:0008794_GO:0004663_GO:0035662_GO:0001875_GO:0035325_GO:0005518_GO:0035663_GO:0019957_GO:0019958_GO:0001846_GO:0016495_GO:0016494_GO:0004662_GO:0033149_GO:0043295_GO:0097573
MF,Topic_24,Enzymatic Functions and Kinase Activities in Lipid Metabolism and Signal Transduction,"Various enzyme activities and kinase functions crucial for cellular processes. Deoxyhypusine synthase catalyzes the formation of deoxyhypusine, essential for eIF5A activation. MAP kinase pathways are regulated by MAP kinase kinase and JUN kinase activities, which are involved in cellular stress responses. Enzymatic activities include lipid metabolism, such as sphingomyelin synthesis and phosphatidylcholine hydrolysis, as well as acyltransferase and phospholipase activities. These processes are vital for maintaining cellular lipid composition and signaling pathways.",GO:0034038_GO:0004709_GO:0008545_GO:0047179_GO:0003847_GO:0047192_GO:0034480_GO:0000810_GO:0033188_GO:0047190_GO:0106258_GO:0047191_GO:0047391_GO:0047714_GO:0106262_GO:0008432_GO:0004623_GO:0004708_GO:0047408_GO:0047378
MF,Topic_25,Diverse Enzymatic Functions in tRNA Modification and Protein Synthesis,"The variety of enzymatic activities involved in tRNA modification and protein synthesis. Key functions include tRNA pseudouridine synthase, which converts uridine to pseudouridine, and peptidyltransferase, which facilitates peptide bond formation. Additional activities include formylation of methionyl-tRNA and acetylation of uridine in tRNA. Enzymes like glutamate-tRNA ligase and isoleucine-tRNA ligase play crucial roles in aminoacyl-tRNA synthesis. These processes are essential for accurate protein synthesis and tRNA maturation, impacting overall cellular function and protein translation.",GO:0106029_GO:0019777_GO:0000048_GO:0009982_GO:0004479_GO:0042586_GO:0050561_GO:0050567_GO:0004045_GO:0017150_GO:0052665_GO:0061929_GO:0004809_GO:0004818_GO:0004822_GO:0004831_GO:0016432_GO:0106335_GO:0051499_GO:0106261_GO:0106388
MF,Topic_26,Enzymatic Activities in Metabolism and Nucleotide Modification,"Various enzymatic functions crucial for metabolism and nucleotide modification. Key activities include phosphoribosylformylglycinamidine synthase, which synthesizes intermediates in purine metabolism, and phosphoglycerate mutase, involved in glycolysis. The topic also covers enzymes like RNA NAD-cap hydrolase, essential for RNA modification, and folate transporters that mediate folate anion exchange. Additionally, activities such as bisphosphoglycerate mutase, which regulates oxygen binding in hemoglobin, and cholesterol 25-hydroxylase, important for cholesterol metabolism, are highlighted. These processes are vital for maintaining cellular and metabolic functions.",GO:0004642_GO:0004644_GO:0110153_GO:0004619_GO:0110152_GO:0008518_GO:0004618_GO:0046538_GO:0004641_GO:0047933_GO:0034417_GO:0004082_GO:0004648_GO:0008887_GO:0047280_GO:0004637_GO:0004638_GO:0003944_GO:0001567_GO:0004634_GO:0018733_GO:0050153
MF,Topic_27,Regulation of Protein Phosphorylation and G-Protein Coupled Receptor Activity,"Key regulatory enzymes and receptors involved in cellular signaling and metabolism. It highlights protein kinases and phosphatases, such as those catalyzing the phosphorylation and dephosphorylation of serine, threonine, and tyrosine residues, which regulate various cellular processes. Additionally, it covers calmodulin-dependent and cyclin-dependent kinases, and calcium-dependent phosphatases. The role of G-protein-coupled receptors (GPCRs) in signaling pathways is also emphasized, including their interactions with neurotransmitters, chemoattractants, and other ligands, influencing cellular responses through G-protein activation.",GO:0008138_GO:0004712_GO:0004865_GO:0004722_GO:0008330_GO:0004683_GO:0004693_GO:0004723_GO:0009931_GO:0034211_GO:0097363_GO:0001621_GO:0099528_GO:0008579_GO:0017017_GO:0008020_GO:0001637_GO:0008528_GO:0016907_GO:0033867_GO:0045031
MF,Topic_28,Enzymatic Reactions Involving ATP Hydrolysis and Carboxylase Activity,"Various enzyme activities critical for cellular metabolism and energy transfer. It includes biotin-dependent carboxylases such as propionyl-CoA, acetyl-CoA, and methylcrotonoyl-CoA carboxylases, which are vital for fatty acid metabolism. The role of ATP hydrolysis in driving biochemical reactions and transport processes is highlighted. Additionally, the activity of ATP-dependent protein kinases and phosphatases, including DNA-dependent protein kinase and protein kinase C, is discussed. Other enzymes like cyclic ADP-ribose hydrolase and CTP synthase are involved in nucleotide metabolism and signaling.",GO:0004080_GO:0004077_GO:0004078_GO:0016887_GO:0004674_GO:0004496_GO:0005471_GO:0004677_GO:0004697_GO:0061812_GO:0003883_GO:0003922_GO:0004088_GO:0072518_GO:0004658_GO:0004740_GO:0043225_GO:0102193
MF,Topic_29,Roles of Adaptor Complexes and MHC Interactions in Cellular Transport and Signaling,"The functions of various adaptor complexes (AP-1, AP-2, AP-3) in vesicular transport and their interactions with membrane proteins. It highlights their roles in linking clathrin to vesicles and facilitating cargo delivery. The subject also covers Major Histocompatibility Complex (MHC) interactions, including both class I and class II molecules, which are crucial for antigen presentation and immune signaling. Additionally, it addresses how MHC class Ib receptors influence lymphocyte activation and inhibition, and the role of the mediator complex in transcription regulation.",GO:0035650_GO:0008955_GO:0035612_GO:0035651_GO:0038024_GO:0032394_GO:0023030_GO:0042287_GO:0042658_GO:0062082_GO:0005483_GO:0023029_GO:0062081_GO:0062080_GO:0036033_GO:0000514_GO:0032393_GO:0042288_GO:0023026_GO:0032397
MF,Topic_30,Roles of Transition Metals and Structural Components in Cellular Functions,"Diverse roles of transition metals and metal clusters in biological systems. Transition metals, including iron, copper, and nickel, are crucial for various cellular processes, including electron transfer and enzyme function. Metal clusters, such as iron-sulfur clusters, are essential for redox reactions and protein function. Additionally, the topic covers the structural roles of proteins in postsynaptic specializations, egg coats, myelin sheaths, skin epidermis, and nuclear pores. It also includes the activities of acyltransferases involved in protein modification and transport.",GO:0046914_GO:0046915_GO:0051538_GO:0051537_GO:0051539_GO:0051540_GO:0098879_GO:0051536_GO:0031420_GO:0019705_GO:0035804_GO:0008374_GO:0016414_GO:0016416_GO:0016418_GO:0016749_GO:0019911_GO:0030280_GO:0017056_GO:0061608
MF,Topic_31,Hormonal Activities and Lipid Transfers in Cellular Processes,"Diverse roles of hormones and lipid transfer activities within cells. Hormones like corticotropin-releasing hormone (CRH) and thyrotropin-releasing hormone (TRH) regulate endocrine functions by stimulating pituitary hormone release. Follicle-stimulating hormone (FSH) and growth hormone-releasing hormone further influence reproductive and growth processes. Additionally, the topic covers the interaction of neuropeptides and adipokinetic hormones with their receptors to modulate physiological responses. Lipid transfer activities, including sphingolipid, ceramide, and glycolipid transfers, are essential for maintaining membrane integrity and cellular signaling.",GO:0017045_GO:0008437_GO:0005179_GO:0051430_GO:0016913_GO:0031530_GO:0016608_GO:0097003_GO:0005184_GO:0004968_GO:0042923_GO:0120016_GO:0097004_GO:0031531_GO:0120013_GO:0051424_GO:0120017_GO:0030354_GO:0015349_GO:0017089
MF,Topic_32,"Roles of Retinal, Vitamin D, and Ion Channels in Cellular Functions","The interactions of retinal, vitamin D, and various ion channels in cellular processes. Retinal forms, including all-trans and 11-cis retinal, are crucial for vision, participating in the light-induced conversion of rhodopsin. Vitamin D binding impacts calcium metabolism and overall health. Additionally, various ion channels facilitate the diffusion of ions like sodium, calcium, and chloride across membranes, crucial for maintaining cellular functions. The facilitated diffusion of molecules such as glycerol and urea through specific channels also highlights their importance in cellular homeostasis.",GO:0005503_GO:0003994_GO:0015264_GO:0015265_GO:0005272_GO:0005502_GO:0015252_GO:0005216_GO:0061778_GO:0019841_GO:0005254_GO:0015254_GO:0016918_GO:0034632_GO:0005262_GO:0102279_GO:0015250_GO:0005229_GO:0005499
MF,Topic_33,Histone Methylation and Acetylation: Mechanisms and Enzymatic Activities,"Biochemical processes involved in histone methylation and acetylation. Histone methyltransferases add methyl groups to specific arginine and lysine residues on histones, influencing gene expression and chromatin structure. For instance, histone H3K4 and H4K20 methylation are key in transcription regulation. Additionally, histone acetyltransferases and deacetylases modulate acetyl groups on lysine residues, impacting chromatin accessibility and gene activity. These modifications are crucial for cellular processes including gene expression regulation and epigenetic memory.",GO:0044020_GO:0070611_GO:0070612_GO:0031151_GO:0042799_GO:0042800_GO:0046974_GO:0046975_GO:0046976_GO:0035642_GO:0018024_GO:0042054_GO:0035241_GO:0034739_GO:0046972_GO:0008469_GO:0032129_GO:0046969_GO:0046970_GO:0097372
MF,Topic_34,Enzymatic Activities in Cholesterol and Retinoid Metabolism,"Various enzymatic activities involved in cholesterol and retinoid metabolism. Key reactions include the hydroxylation of cholesterol to produce 7alpha-hydroxycholesterol and the epoxidation of anandamide at different positions, influencing lipid signaling pathways. Additionally, the metabolism of leukotrienes and steroids through monooxygenase and hydroxylase activities plays critical roles in inflammation and hormonal regulation. Enzymes like hydroxymethylglutaryl-CoA reductase and heme oxygenase are crucial for cholesterol synthesis and heme degradation, respectively, highlighting their importance in maintaining metabolic balance.",GO:0033783_GO:0062187_GO:0062188_GO:0062189_GO:0097259_GO:0008398_GO:0004509_GO:0050051_GO:0097258_GO:0031544_GO:0106309_GO:0062182_GO:0047787_GO:0047322_GO:0031543_GO:0019797_GO:0019798_GO:0004392_GO:0062183_GO:0102033
MF,Topic_35,Enzyme Activities and Transport Functions in Lipid and Amino Acid Metabolism,"Key enzymatic activities and transport functions in lipid and amino acid metabolism. It includes transacylation reactions like mono-olein to diolein conversion, which are crucial for lipid metabolism. The transport of bile acids and carboxylic acids across membranes is essential for digestion and absorption. Enzymes involved in the hydroxylation of arachidonic acid and binding activities related to amino acids and bile acids are highlighted, emphasizing their roles in cellular signaling and nutrient transport. These processes are critical for maintaining metabolic balance and cellular function.",GO:0051264_GO:0015126_GO:0051265_GO:0046943_GO:0031406_GO:0015125_GO:0008028_GO:0015179_GO:0038181_GO:0052869_GO:0033293_GO:0072544_GO:0015171_GO:0015175_GO:0005295_GO:0015374_GO:0015658_GO:0050544_GO:0016597_GO:0004994
CC,Topic_01,Diverse Cyclin-CDK Complexes and Their Regulatory Functions in the Cell Cycle,"Cyclin-dependent kinases (CDKs) form critical complexes with cyclins to regulate the cell cycle. These complexes, such as cyclin A1-CDK2, cyclin B1-CDK1, and cyclin D1-CDK4, exhibit periodic activity to drive cell cycle progression. Each cyclin-CDK pair has specific functions, including regulating mitosis, DNA replication, and cellular checkpoints. Additionally, various associated protein complexes, like CAK-ERCC2 and protein kinase CK2, further modulate CDK activity, impacting cell cycle transitions and stability. Understanding these complexes is essential for elucidating cell cycle control mechanisms and potential therapeutic targets.",GO:0097123_GO:0097135_GO:0097130_GO:0097125_GO:0097128_GO:0097132_GO:0097134_GO:0002944_GO:0097124_GO:0097129_GO:0002945_GO:0019907_GO:0016533_GO:0000307_GO:0090443_GO:0005956_GO:0030289_GO:0070516_GO:0072357
CC,Topic_02,Ubiquitin Ligase Complexes and Other Essential Cellular Machinery,"Ubiquitin ligase complexes, including Cul5-RING and SCF complexes, play a crucial role in protein degradation by targeting substrates for proteasomal destruction. These complexes are formed by cullins and RING domain proteins, and their substrate specificity is conferred by additional adaptor proteins. Key complexes also include the core mediator complex, essential for transcription regulation, and various proteasome components, crucial for protein turnover. Additionally, the ATP-binding cassette (ABC) transporter complex facilitates cellular metabolite transport, highlighting the diverse machinery essential for cellular function.",GO:0031466_GO:0070847_GO:0019005_GO:0031467_GO:0016592_GO:0031462_GO:0031464_GO:0031465_GO:0031463_GO:0031461_GO:0008180_GO:0080008_GO:0033503_GO:0000151_GO:0043190_GO:0019773_GO:0019774_GO:0022624_GO:0030015_GO:0036053
CC,Topic_03,Lipoprotein Particles and DNA Repair Complexes in Cellular Function,"Lipoprotein particles, such as IDL, LDL, and HDL, are crucial for lipid transport in the bloodstream, influencing cholesterol levels and overall metabolism. Intermediate-density lipoproteins (IDL) and low-density lipoproteins (LDL) carry cholesterol to tissues, while high-density lipoproteins (HDL) facilitate reverse cholesterol transport to the liver. Concurrently, DNA repair is managed by complexes like the nucleotide-excision repair factors XPC and ERCC4-ERCC1, which address DNA damage and ensure genome stability. These systems together maintain cellular health and function.",GO:0034363_GO:0034362_GO:0071986_GO:0031389_GO:0034361_GO:0000112_GO:0034365_GO:0035861_GO:0034364_GO:0000439_GO:0042627_GO:0034358_GO:0034359_GO:0090734_GO:0043626_GO:0071942_GO:0000110_GO:0070522_GO:0043601_GO:0031390_GO:0031391
CC,Topic_04,Role of ER and Golgi Complexes in Cellular Transport and Protein Processing,"The smooth endoplasmic reticulum (SER) is essential for lipid synthesis and detoxification and transports proteins from the rough ER to the Golgi apparatus. COPII-coated vesicles mediate this transport, while COPI-coated vesicles manage retrograde transport from the Golgi back to the ER. Within the Golgi apparatus, proteins undergo further processing in distinct cisternae and the trans-Golgi network, which sorts and directs them to their final destinations. The endomembrane system, including the ER-Golgi intermediate compartment and various protein complexes like EMC and BAT3, coordinates these processes, ensuring efficient cellular function.",GO:0005790_GO:0030134_GO:0005793_GO:0005795_GO:0071818_GO:0000138_GO:0030133_GO:0005796_GO:0005802_GO:0031205_GO:0030137_GO:0000137_GO:0005801_GO:0072546_GO:0005791_GO:0033116_GO:0012505_GO:0030127_GO:0097038
CC,Topic_05,Functional Components of Chromosomal and Membrane Extrinsic Regions in Cellular Systems,"Chromosomal regions, including telomeric, centromeric, and subtelomeric areas, play crucial roles in chromosome stability and segregation. The Y chromosome, present in males, pairs with the X chromosome in sex determination. Membrane extrinsic components, found in various cellular membranes such as endosomes, mitochondria, and the Golgi apparatus, consist of loosely associated proteins and gene products. These components influence cellular processes like protein transport, synaptic function, and membrane integrity, supporting overall cell functionality and homeostasis.",GO:0000806_GO:0000781_GO:0000775_GO:0031313_GO:0031315_GO:0098998_GO:0061638_GO:0000805_GO:0000779_GO:0019897_GO:0031314_GO:0090498_GO:0097629_GO:0098888_GO:0099115_GO:0031232_GO:0031234_GO:0042406_GO:0098850_GO:0098892_GO:0099147
CC,Topic_06,Key Multi-Protein Complexes in Cellular Processes and Membrane Dynamics,"Multi-protein complexes are crucial for various cellular functions. The npBAF and nBAF complexes, found in neural cells, regulate gene expression and dendrite growth. The cohesin complex maintains sister chromatid cohesion, while the TIM22 and TIM23 complexes are involved in mitochondrial protein import. The prefoldin and Smc5-Smc6 complexes assist in protein folding and DNA repair, respectively. Kinesin and myosin V complexes drive intracellular transport. Additionally, the PAN complex degrades mRNA, and the IPAF inflammasome senses pathogens, highlighting the diverse roles of these complexes in maintaining cellular function and integrity.",GO:0071564_GO:0071565_GO:0008278_GO:0042721_GO:0005744_GO:0016272_GO:0030915_GO:0016939_GO:0005871_GO:0035060_GO:0120099_GO:0030877_GO:0031475_GO:0031251_GO:0072557_GO:0071142_GO:0070443
CC,Topic_07,Key RNA and Ribosomal Complexes in Eukaryotic Cells,"Eukaryotic cells utilize various RNA and ribosomal complexes for crucial functions. The nucleolar, cytoplasmic, and nuclear exosomes, alongside the general exosome complex, degrade aberrant RNAs through 3'-5' exoribonuclease activity. The RISC-loading complex and RISC complex, involving Dicer and Argonaute proteins, regulate gene expression by processing miRNAs and siRNAs. Ribosomes, including large and small subunits, are central to protein synthesis, with complexes like the translation initiation complex and eIF3 facilitating this process. Additionally, the TRAMP complex and ribonuclease P and MRP complexes play roles in RNA processing and mitochondrial tRNA maturation.",GO:0101019_GO:0000177_GO:0000176_GO:0000178_GO:0070578_GO:0031499_GO:0005840_GO:0070877_GO:0016442_GO:0015934_GO:0030678_GO:0000315_GO:0070992_GO:0005762_GO:0033291_GO:0030677_GO:0016281_GO:0005852_GO:0030688_GO:0000172
CC,Topic_08,Core Structures and Functions of Synaptic Connections in Neurons,"Synapses are critical junctions between neurons, muscle fibers, or glial cells. They consist of presynaptic terminal boutons and postsynaptic membranes separated by a synaptic cleft. Neurotransmitters are released from the presynaptic terminal and act on the postsynaptic membrane. Various synaptic types include asymmetric glutamatergic excitatory synapses and symmetric GABA-ergic inhibitory synapses. Specialized structures such as dendritic spines, terminal boutons, and postsynaptic recycling endosomes play crucial roles in synaptic transmission and plasticity.",GO:0045202_GO:0044300_GO:0031594_GO:0030425_GO:0044301_GO:0098686_GO:0097060_GO:0043195_GO:0043679_GO:0042734_GO:0098837_GO:0032279_GO:0043197_GO:0043196_GO:0099629_GO:0043209_GO:0045211_GO:0098985_GO:0098983_GO:0098992
CC,Topic_09,Key Protein Complexes and Membranes in Specialized Cellular Organelles,"Cellular organelles such as lamellar bodies, lysosomes, and specific granules are surrounded by distinctive lipid bilayers and protein complexes. For example, lamellar bodies, involved in surfactant storage, are surrounded by a lamellar body membrane. Key protein complexes like BLOC-1 and BLOC-3 are essential for the biogenesis of lysosomal-related organelles. Similarly, specific granules in neutrophils and platelet alpha granules serve critical roles in secretion and cellular function. Each organelle's structure is tailored for its specialized function, reflecting the complex cellular organization.",GO:0097232_GO:0031084_GO:0031082_GO:0042599_GO:0031085_GO:0035577_GO:0099078_GO:0034455_GO:0031083_GO:0043233_GO:0031091_GO:0042584_GO:0044194_GO:0101002_GO:0005764_GO:0035579_GO:0035580_GO:0005773_GO:0042581_GO:0005759_GO:0034366_GO:0097234
